Genre,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo
edm,0.673,0.953,-2.333,0.0,0.0572,3.84e-06,0.296,0.62,127.921
edm,0.536,0.911,-4.158,1.0,0.0327,0.00528,0.302,0.41,149.99
edm,0.722,0.856,-6.392,0.0,0.0305,0.0597,0.231,0.827,121.99
edm,0.591,0.931,-2.867,1.0,0.00763,0.000216,0.153,0.17,129.975
edm,0.652,0.898,-4.481,0.0,0.29,0.0,0.073,0.472,114.043
edm,0.606,0.899,-6.827,1.0,0.00185,9.52e-06,0.732,0.689,141.923
edm,0.632,0.595,-7.644,0.0,0.0689,0.0,0.209,0.435,124.114
edm,0.849,0.483,-7.114,0.0,0.443,0.000141,0.0786,0.282,101.015
edm,0.384,0.772,-4.358,0.0,0.114,0.0,0.102,0.239,73.735
edm,0.576,0.711,-4.826,1.0,0.0748,0.0,0.226,0.556,89.988
edm,0.588,0.735,-4.777,1.0,0.0202,0.000179,0.208,0.216,129.983
edm,0.745,0.693,-5.479,0.0,0.339,0.0,0.123,0.248,98.039
edm,0.563,0.645,-6.422,1.0,0.293,0.0,0.202,0.523,89.976
edm,0.598,0.833,-3.716,0.0,0.0196,0.0,0.292,0.406,124.973
edm,0.521,0.861,-3.138,1.0,0.261,0.0,0.0682,0.473,191.618
edm,0.633,0.845,-3.871,0.0,0.0454,0.0,0.0822,0.642,125.031
edm,0.582,0.889,-4.386,1.0,0.021,0.0,0.687,0.438,121.977
edm,0.816,0.919,-5.174,1.0,0.0104,0.0019,0.101,0.527,125.982
edm,0.701,0.667,-6.177,1.0,0.0121,6.53e-06,0.148,0.675,119.975
edm,0.44,0.635,-6.385,1.0,0.129,0.0,0.121,0.327,128.133
edm,0.567,0.887,-5.995,0.0,0.0147,0.0136,0.327,0.159,125.017
edm,0.63,0.633,-7.088,1.0,0.00776,0.0,0.0541,0.452,93.995
edm,0.802,0.645,-6.181,0.0,0.272,0.0,0.119,0.376,100.001
edm,0.723,0.87,-3.013,0.0,0.035,0.0,0.656,0.678,129.952
edm,0.846,0.726,-3.376,1.0,0.094,2e-06,0.0304,0.79,131.974
edm,0.738,0.852,-6.962,0.0,0.0298,0.0536,0.129,0.585,124.979
edm,0.59,0.764,-4.735,1.0,0.229,0.0,0.192,0.331,104.911
edm,0.748,0.841,-5.08,1.0,0.00445,1.33e-06,0.0413,0.717,123.045
edm,0.67,0.776,-4.091,0.0,0.00388,0.000189,0.122,0.624,115.034
edm,0.637,0.687,-8.63,1.0,0.0587,0.704,0.0917,0.0878,119.995
edm,0.533,0.909,-2.341,0.0,0.00172,7.29e-05,0.194,0.22,150.037
edm,0.715,0.962,-4.416,0.0,0.0233,6.23e-05,0.381,0.517,149.981
edm,0.609,0.801,-8.483,0.0,0.0246,0.00255,0.37,0.202,122.958
edm,0.754,0.764,-3.95,1.0,0.144,0.0,0.294,0.929,109.919
edm,0.545,0.839,-4.24,1.0,0.0223,0.0,0.0714,0.276,127.987
edm,0.538,0.642,-4.412,1.0,0.104,0.0,0.112,0.47,161.803
edm,0.453,0.736,-6.269,0.0,0.204,4.18e-06,0.105,0.288,160.018
edm,0.747,0.728,-6.683,0.0,0.0173,8.59e-05,0.0813,0.471,126.019
edm,0.641,0.709,-4.798,1.0,0.0261,0.000424,0.109,0.278,124.997
edm,0.462,0.741,-8.327,1.0,0.0806,0.326,0.123,0.0392,124.018
edm,0.77,0.533,-11.022,1.0,0.0331,0.463,0.0935,0.493,95.017
edm,0.711,0.722,-6.222,1.0,0.0376,0.000151,0.0651,0.818,122.021
edm,0.768,0.82,-4.63,0.0,0.179,0.0,0.689,0.625,129.965
edm,0.61,0.781,-5.694,0.0,0.00361,0.135,0.323,0.299,95.003
edm,0.708,0.891,-4.931,1.0,0.00316,2.44e-06,0.124,0.336,125.999
edm,0.738,0.794,-4.118,0.0,0.101,0.0,0.0533,0.566,104.014
edm,0.807,0.836,-4.359,0.0,0.0434,0.396,0.113,0.962,120.057
edm,0.603,0.853,-4.802,0.0,0.00218,0.861,0.0623,0.274,109.979
edm,0.773,0.808,-6.444,1.0,0.00307,0.0624,0.22,0.418,140.055
edm,0.72,0.706,-1.93,0.0,0.104,0.000447,0.12,0.346,140.043
edm,0.671,0.866,-5.955,1.0,0.000113,0.763,0.105,0.119,114.003
edm,0.773,0.97,-4.915,1.0,0.0925,0.679,0.161,0.341,127.999
edm,0.723,0.561,-8.322,0.0,0.642,7.11e-06,0.228,0.616,145.02
edm,0.548,0.839,-2.371,1.0,0.135,0.0,0.102,0.314,98.932
edm,0.668,0.682,-7.999,1.0,0.00143,0.00469,0.467,0.565,139.998
edm,0.559,0.777,-5.031,1.0,0.31,0.0,0.105,0.329,87.016
edm,0.576,0.88,-2.01,0.0,0.0208,8.99e-05,0.334,0.514,87.969
edm,0.467,0.757,-3.01,1.0,0.0866,0.0,0.0742,0.383,131.993
edm,0.722,0.647,-6.171,0.0,0.024,0.444,0.462,0.102,122.026
edm,0.72,0.664,-7.278,0.0,0.00435,0.00252,0.0601,0.268,99.958
edm,0.674,0.932,-4.876,1.0,0.0363,0.0,0.0576,0.826,144.039
edm,0.738,0.803,-5.216,1.0,0.508,0.0202,0.105,0.362,124.016
edm,0.671,0.806,-5.198,0.0,0.0305,1.2e-05,0.298,0.646,104.39
edm,0.842,0.801,-4.167,0.0,0.157,4.82e-06,0.0642,0.617,95.881
edm,0.762,0.665,-6.92,0.0,0.169,0.0,0.103,0.961,115.946
edm,0.815,0.688,-6.101,1.0,0.00159,4.11e-06,0.111,0.641,101.968
edm,0.7,0.546,-7.705,0.0,0.0131,0.0305,0.172,0.302,80.004
edm,0.495,0.426,-9.434,1.0,0.152,5.65e-06,0.099,0.0636,97.91
edm,0.834,0.662,-6.179,1.0,0.522,9.07e-05,0.14,0.718,115.999
edm,0.771,0.883,-5.243,0.0,0.00596,0.00607,0.135,0.895,127.008
edm,0.577,0.875,-2.897,0.0,0.0231,4.69e-06,0.111,0.411,164.009
edm,0.653,0.945,-2.634,1.0,0.00561,0.915,0.439,0.326,126.093
edm,0.671,0.782,-4.593,1.0,0.0142,0.00221,0.333,0.618,123.989
edm,0.421,0.771,-9.321,0.0,0.00139,0.196,0.235,0.0759,132.029
edm,0.809,0.757,-6.246,0.0,0.0157,0.0943,0.0997,0.587,121.013
edm,0.435,0.825,-2.518,1.0,0.0248,0.0454,0.0845,0.0425,169.835
edm,0.492,0.916,-5.684,1.0,0.0106,0.122,0.066,0.383,99.991
edm,0.786,0.803,-5.21,1.0,0.128,0.0167,0.266,0.598,123.002
edm,0.735,0.691,-6.475,1.0,0.0876,0.0,0.34,0.548,110.018
edm,0.612,0.862,-2.903,1.0,0.041,0.0,0.0907,0.354,123.849
edm,0.647,0.642,-7.306,0.0,0.262,0.0,0.134,0.48,90.045
edm,0.602,0.675,-6.415,1.0,0.00477,0.193,0.109,0.404,150.002
edm,0.61,0.854,-5.118,1.0,0.00524,1.25e-06,0.127,0.576,127.953
edm,0.65,0.738,-6.46,0.0,0.0539,0.0,0.206,0.336,119.827
edm,0.523,0.716,-7.017,1.0,0.305,0.737,0.321,0.542,179.989
edm,0.646,0.741,-4.973,0.0,0.0275,0.0,0.312,0.571,123.077
edm,0.635,0.882,-4.654,1.0,0.484,1.11e-05,0.107,0.549,129.951
edm,0.325,0.663,-5.869,0.0,0.0313,0.0101,0.0737,0.147,174.04
edm,0.612,0.66,-8.24,1.0,0.227,0.0906,0.214,0.0673,125.02
edm,0.729,0.788,-4.832,0.0,0.0703,0.0,0.115,0.857,118.039
edm,0.842,0.681,-5.73,0.0,0.232,2.32e-05,0.125,0.872,109.97
edm,0.746,0.989,-1.382,1.0,0.00283,0.0515,0.056,0.0499,127.971
edm,0.712,0.923,-5.536,0.0,0.0124,0.168,0.103,0.263,127.982
edm,0.66,0.693,-6.33,0.0,0.185,1.18e-06,0.719,0.575,125.038
edm,0.723,0.924,-3.518,1.0,0.0332,5.63e-06,0.0496,0.527,108.009
edm,0.586,0.896,-4.132,0.0,0.00945,0.836,0.121,0.103,125.744
edm,0.63,0.892,-5.122,1.0,0.0105,0.0069,0.144,0.557,130.012
edm,0.768,0.871,-5.164,0.0,0.0264,0.74,0.25,0.454,123.983
edm,0.659,0.911,-4.628,1.0,0.000363,0.00812,0.35,0.498,109.975
edm,0.605,0.788,-5.858,0.0,0.0229,0.0287,0.114,0.0448,122.993
edm,0.68,0.95,-4.595,1.0,0.00203,0.538,0.552,0.14,134.982
edm,0.619,0.484,-8.715,1.0,0.116,0.000121,0.19,0.61,90.916
edm,0.57,0.737,-4.27,0.0,0.0314,0.0,0.248,0.621,100.052
edm,0.605,0.874,-4.949,0.0,0.000563,0.812,0.112,0.836,125.99
edm,0.723,0.755,-5.363,0.0,0.157,1.46e-05,0.114,0.472,124.972
edm,0.739,0.853,-4.184,1.0,0.0306,0.0,0.102,0.344,124.921
edm,0.668,0.726,-7.512,1.0,0.0387,0.0,0.134,0.453,124.075
edm,0.496,0.691,-5.443,1.0,0.0697,1.7e-06,0.112,0.199,159.885
edm,0.588,0.83,-5.206,1.0,0.0685,0.0,0.116,0.225,122.002
edm,0.694,0.7,-5.53,0.0,0.191,0.0,0.0719,0.261,127.965
edm,0.713,0.891,-5.724,0.0,0.000513,0.0688,0.0687,0.365,127.977
edm,0.639,0.631,-10.686,0.0,0.00833,0.146,0.119,0.197,121.968
edm,0.7,0.878,-5.133,1.0,0.0122,0.000525,0.32,0.367,99.997
edm,0.719,0.817,-8.447,1.0,0.132,0.00379,0.0967,0.0747,103.853
edm,0.443,0.881,-4.574,0.0,0.0711,0.114,0.0692,0.744,120.942
edm,0.671,0.526,-8.433,1.0,0.0185,0.841,0.299,0.252,119.991
edm,0.81,0.788,-3.663,1.0,0.267,0.000172,0.196,0.845,135.991
edm,0.653,0.757,-3.642,1.0,0.1,0.0,0.242,0.238,128.018
edm,0.768,0.933,-2.95,0.0,0.206,0.915,0.0833,0.245,124.996
edm,0.393,0.895,-4.935,0.0,0.00259,0.000407,0.151,0.183,160.057
edm,0.704,0.634,-7.374,0.0,0.393,3.17e-05,0.0952,0.411,113.927
edm,0.507,0.824,-2.501,1.0,0.0246,0.0451,0.0848,0.0394,84.992
edm,0.545,0.954,-4.406,1.0,0.00092,0.296,0.143,0.27,123.989
edm,0.577,0.724,-4.657,1.0,0.0229,0.0,0.0927,0.397,127.948
edm,0.628,0.799,-4.983,0.0,0.041,0.000429,0.455,0.473,174.997
edm,0.518,0.584,-7.951,0.0,0.0134,0.0215,0.0964,0.182,139.936
edm,0.621,0.575,-6.243,1.0,0.265,0.0,0.0932,0.343,117.887
edm,0.667,0.717,-5.21,0.0,0.193,0.0,0.104,0.495,108.006
edm,0.55,0.648,-6.542,1.0,0.0191,0.0,0.0999,0.323,156.957
edm,0.512,0.789,-7.617,0.0,0.00357,0.0,0.261,0.687,98.006
edm,0.723,0.809,-3.081,0.0,0.00346,0.00123,0.565,0.274,98.007
edm,0.49,0.828,-4.374,1.0,0.0265,0.0,0.149,0.31,170.049
edm,0.698,0.869,-3.294,1.0,0.0223,0.0,0.121,0.715,125.007
edm,0.761,0.932,-4.787,0.0,0.0487,0.00295,0.308,0.596,128.003
edm,0.643,0.94,-3.823,0.0,0.023,5.76e-05,0.165,0.279,150.168
edm,0.487,0.687,-6.747,0.0,0.231,0.117,0.107,0.19,145.983
edm,0.597,0.837,-6.518,1.0,0.00427,0.00115,0.839,0.447,126.342
edm,0.62,0.935,-2.501,0.0,0.146,0.0,0.898,0.386,145.963
edm,0.637,0.827,-5.153,0.0,0.046,0.103,0.575,0.339,128.025
edm,0.744,0.78,-3.631,0.0,0.101,4.36e-06,0.184,0.762,125.997
edm,0.58,0.846,-2.876,0.0,0.00537,6.62e-06,0.145,0.366,129.998
edm,0.444,0.557,-5.476,1.0,0.453,0.0,0.152,0.296,115.058
edm,0.65,0.827,-3.792,1.0,0.0265,5.88e-05,0.166,0.498,122.057
edm,0.7,0.581,-8.493,0.0,0.118,0.00196,0.135,0.165,140.019
edm,0.481,0.922,-4.17,1.0,0.0238,0.0018,0.0971,0.237,127.928
edm,0.573,0.9,-4.855,0.0,0.00498,0.00932,0.0952,0.415,91.988
edm,0.727,0.749,-5.811,0.0,0.184,0.00666,0.105,0.466,125.056
edm,0.677,0.744,-6.806,0.0,0.0405,0.000153,0.074,0.631,124.077
edm,0.485,0.724,-4.633,0.0,0.0736,0.0,0.0631,0.433,128.045
edm,0.433,0.838,-4.369,0.0,0.00284,0.00191,0.136,0.379,128.064
edm,0.53,0.612,-8.794,1.0,0.253,0.0,0.246,0.433,119.255
