danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,Genre
0.575,0.0525,-16.659,0,0.962,0.913,0.0943,0.0588,144.11,guitar
0.0614,0.00153,-28.262,1,0.969,0.995,0.112,0.0671,74.04,guitar
0.508,0.256,-13.302,1,0.653,0.722,0.0797,0.624,171.02,guitar
0.54,0.219,-10.054,1,0.387,0.0,0.247,0.366,81.87,guitar
0.62,0.108,-22.94,1,0.949,0.886,0.145,0.363,111.972,guitar
0.364,0.307,-17.603,1,0.909,0.942,0.109,0.674,134.97,guitar
0.453,0.151,-22.434,1,0.947,0.952,0.13,0.551,97.328,guitar
0.397,0.416,-11.062,0,0.589,0.851,0.0868,0.288,121.349,guitar
0.585,0.4,-11.811,0,0.832,0.875,0.116,0.197,82.025,guitar
0.518,0.716,-5.21,1,0.398,5.92e-06,0.236,0.759,96.88,guitar
0.559,0.0839,-15.855,1,0.973,0.927,0.0966,0.225,159.135,guitar
0.444,0.289,-17.234,0,0.868,0.503,0.0806,0.284,153.79,guitar
0.685,0.797,-5.372,1,0.506,0.00935,0.069,0.926,98.612,guitar
0.279,0.482,-10.297,0,0.944,0.889,0.158,0.13,75.991,guitar
0.671,0.2,-23.978,1,0.994,0.939,0.114,0.53,107.517,guitar
0.615,0.647,-3.4,1,0.66,1.12e-05,0.124,0.588,147.846,guitar
0.53,0.108,-17.208,1,0.993,0.94,0.104,0.255,137.02,guitar
0.584,0.642,-5.969,0,0.611,0.000234,0.139,0.838,78.592,guitar
0.603,0.485,-7.631,1,0.747,0.00022,0.109,0.551,77.074,guitar
0.527,0.0328,-17.784,1,0.99,0.942,0.111,0.205,95.319,guitar
0.627,0.27,-15.618,0,0.977,0.896,0.117,0.534,116.826,guitar
0.411,0.298,-13.118,1,0.951,0.882,0.113,0.498,169.932,guitar
0.548,0.365,-9.539,1,0.795,5.91e-06,0.0988,0.358,116.797,guitar
0.445,0.217,-20.814,1,0.965,0.874,0.111,0.168,90.835,guitar
0.379,0.141,-20.041,1,0.967,0.934,0.111,0.265,122.264,guitar
0.712,0.635,-3.769,0,0.778,0.0,0.392,0.778,88.269,guitar
0.539,0.372,-12.911,0,0.807,2.36e-06,0.0861,0.616,112.859,guitar
0.218,0.0293,-31.517,1,0.951,0.565,0.228,0.037,68.836,guitar
